t	U1	U2	U3	U4
0.263	9.99	9.99	9.99	9.99
0.264	9.99	9.99	9.99	9.99
0.265	9.99	9.99	9.99	9.99
0.266	9.99	9.99	9.99	9.99
0.267	9.99	9.99	9.99	9.99
0.268	9.99	9.99	9.99	9.99
0.269	9.99	9.99	9.99	9.99
0.27	9.99	9.99	9.99	9.99
0.271	9.99	9.99	9.99	9.99
0.272	9.99	9.99	9.99	9.99
0.273	9.99	9.99	9.99	9.99
0.274	9.99	9.99	9.99	9.99
0.275	9.99	9.99	9.99	9.99
0.276	9.99	9.99	9.99	9.99
0.277	9.99	9.99	9.99	9.99
0.278	9.99	9.99	9.99	9.99
0.279	9.99	9.99	9.99	9.99
0.28	9.99	9.99	9.99	9.99
0.281	9.99	9.99	9.99	9.99
0.282	9.99	9.99	9.99	9.99
0.283	9.99	9.99	9.99	9.99
0.284	9.99	9.99	9.99	9.99
0.285	9.99	9.99	9.99	9.99
0.286	9.99	9.99	9.99	9.99
0.287	9.99	9.99	9.99	9.99
0.288	9.99	9.99	9.99	9.99
0.289	9.99	9.99	9.99	9.99
0.29	9.99	9.99	9.99	9.99
0.291	9.99	9.99	9.99	9.99
0.292	9.99	9.99	9.99	9.99
0.293	9.99	9.99	9.99	9.99
0.294	9.99	9.99	9.99	9.99
0.295	9.99	9.99	9.99	9.99
0.296	9.99	9.99	9.99	9.99
0.297	9.99	9.99	9.99	9.99
0.298	9.99	9.99	9.99	9.99
0.299	9.99	9.99	9.99	9.99
0.3	9.99	9.99	9.99	9.99
0.301	9.99	9.99	9.99	9.99
0.302	9.99	9.99	9.99	9.99
0.303	9.99	9.99	9.99	9.99
0.304	9.99	9.99	9.99	9.99
0.305	9.99	9.99	9.99	9.99
0.306	9.99	9.99	9.99	9.99
0.307	9.99	9.99	9.99	9.99
0.308	9.99	9.99	9.99	9.99
0.309	9.99	9.99	9.99	9.99
0.31	9.99	9.99	9.99	9.99
0.311	9.99	9.99	9.99	9.99
0.312	9.99	9.99	9.99	9.99
0.313	9.99	9.99	9.99	9.99
0.314	9.99	9.99	9.99	9.99
0.315	9.99	9.99	9.99	9.99
0.316	9.99	9.99	9.99	9.99
0.317	9.99	9.99	9.99	9.99
0.318	9.99	9.99	9.99	9.99
0.319	9.99	9.99	9.99	9.99
0.32	9.99	9.99	9.99	9.99
0.321	9.99	9.99	9.99	9.99
0.322	9.99	9.99	9.99	9.99
0.323	9.99	9.99	9.99	9.99
0.324	9.99	9.99	9.99	9.99
0.325	9.99	9.99	9.99	9.99
0.326	9.99	9.99	9.99	9.99
0.327	9.99	9.99	9.99	9.99
0.328	9.99	9.99	9.99	9.99
0.329	9.99	9.99	9.99	9.99
0.33	9.99	9.99	9.99	9.99
0.331	9.99	9.99	9.99	9.99
0.332	9.99	9.99	9.99	9.99
0.333	9.99	9.99	9.99	9.99
0.334	9.99	9.99	9.99	9.99
0.335	9.99	9.99	9.99	9.99
0.336	9.99	9.99	9.99	9.99
0.337	9.99	9.99	9.99	9.99
0.338	9.99	9.99	9.99	9.99
0.339	9.99	9.99	9.99	9.99
0.34	9.99	9.99	9.99	9.99
0.341	9.99	9.99	9.99	9.99
0.342	9.99	9.99	9.99	9.99
0.343	9.99	9.99	9.99	9.99
0.344	9.99	9.99	9.99	9.99
0.345	9.99	9.99	9.99	9.99
0.346	9.99	9.99	9.99	9.99
0.347	9.99	9.99	9.99	9.99
0.348	9.99	9.99	9.99	9.99
0.349	9.99	9.99	9.99	9.99
0.35	9.99	9.99	9.99	9.99
0.351	9.99	9.99	9.99	9.99
0.352	9.99	9.99	9.99	9.99
0.353	9.99	9.99	9.99	9.99
0.354	9.99	9.99	9.99	9.99
0.355	9.99	9.99	9.99	9.99
0.356	9.99	9.99	9.99	9.99
0.357	9.99	9.99	9.99	9.99
0.358	9.99	9.99	9.99	9.99
0.359	9.99	9.99	9.99	9.99
0.36	9.99	9.99	9.99	9.99
0.361	9.99	9.99	9.99	9.99
0.362	9.99	9.99	9.99	9.99
0.363	9.99	9.99	9.99	9.99
0.364	9.99	9.99	9.99	9.99
0.365	9.99	9.99	9.99	9.99
0.366	9.99	9.99	9.99	9.99
0.367	9.99	9.99	9.99	9.99
0.368	9.99	9.99	9.99	9.99
0.369	9.99	9.99	9.99	9.99
0.37	9.99	9.99	9.99	9.99
0.371	9.99	9.99	9.99	9.99
0.372	9.99	9.99	9.99	9.99
0.373	9.99	9.99	9.99	9.99
0.374	9.99	9.99	9.99	9.99
0.375	9.99	9.99	9.99	9.99
0.376	9.99	9.99	9.99	9.99
0.377	9.99	9.99	9.99	9.99
0.378	9.99	9.99	9.99	9.99
0.379	9.99	9.99	9.99	9.99
0.38	9.99	9.99	9.99	9.99
0.381	9.99	9.99	9.99	9.99
0.382	9.99	9.99	9.99	9.99
0.383	9.99	9.99	9.99	9.99
0.384	9.99	9.99	9.99	9.99
0.385	9.99	9.99	9.99	9.99
0.386	9.99	9.99	9.99	9.99
0.387	9.99	9.99	9.99	9.99
0.388	9.99	9.99	9.99	9.99
0.389	9.99	9.99	9.99	9.99
0.39	9.99	9.99	9.99	9.99
0.391	9.99	9.99	9.99	9.99
0.392	9.99	9.99	9.99	9.99
0.393	9.99	9.99	9.99	9.99
0.394	9.99	9.99	9.99	9.99
0.395	9.99	9.99	9.99	9.99
0.396	9.99	9.99	9.99	9.99
0.397	9.99	9.99	9.99	9.99
0.398	9.99	9.99	9.99	9.99
0.399	9.99	9.99	9.99	9.99
0.4	9.99	9.99	9.99	9.99
0.401	9.99	9.99	9.99	9.99
0.402	9.99	9.99	9.99	9.99
0.403	9.99	9.99	9.99	9.99
0.404	9.99	9.99	9.99	9.99
0.405	9.99	9.99	9.99	9.99
0.406	9.99	9.99	9.99	9.99
0.407	9.99	9.99	9.99	9.99
0.408	9.99	9.99	9.99	9.99
0.409	9.99	9.99	9.99	9.99
0.41	9.99	9.99	9.99	9.99
0.411	9.99	9.99	9.99	9.99
0.412	9.99	9.99	9.99	9.99
0.413	9.99	9.99	9.99	9.99
0.414	9.99	9.99	9.99	9.99
0.415	9.99	9.99	9.99	9.99
0.416	9.99	9.99	9.99	9.99
0.417	9.99	9.99	9.99	9.99
0.418	9.99	9.99	9.99	9.99
0.419	9.99	9.99	9.99	9.99
0.42	9.99	9.99	9.99	9.99
0.421	9.99	9.99	9.99	9.99
0.422	9.99	9.99	9.99	9.99
0.423	9.99	9.99	9.99	9.99
0.424	9.99	9.99	9.99	9.99
0.425	9.99	9.99	9.99	9.99
0.426	9.99	9.99	9.99	9.99
0.427	9.99	9.99	9.99	9.99
0.428	9.99	9.99	9.99	9.99
0.429	9.99	9.99	9.99	9.99
0.43	9.99	9.99	9.99	9.99
0.431	9.99	9.99	9.99	9.99
0.432	9.99	9.99	9.99	9.99
0.433	9.99	9.99	9.99	9.99
0.434	9.99	9.99	9.99	9.99
0.435	9.99	9.99	9.99	9.99
0.436	9.99	9.99	9.99	9.99
0.437	9.99	9.99	9.99	9.99
0.438	9.99	9.99	9.99	9.99
0.439	9.99	9.99	9.99	9.99
0.44	9.99	9.99	9.99	9.99
0.441	9.99	9.99	9.99	9.99
0.442	9.99	9.99	9.99	9.99
0.443	9.99	9.99	9.99	9.99
0.444	9.99	9.99	9.99	9.99
0.445	9.99	9.99	9.99	9.99
0.446	9.99	9.99	9.99	9.99
0.447	9.99	9.99	9.99	9.99
0.448	9.99	9.99	9.99	9.99
0.449	9.99	9.99	9.99	9.99
0.45	9.99	9.99	9.99	9.99
0.451	9.99	9.99	9.99	9.99
0.452	9.99	9.99	9.99	9.99
0.453	9.99	9.99	9.99	9.99
0.454	9.99	9.99	9.99	9.99
0.455	9.99	9.99	9.99	9.99
0.456	9.99	9.99	9.99	9.99
0.457	9.99	9.99	9.99	9.99
0.458	9.99	9.99	9.99	9.99
0.459	9.99	9.99	9.99	9.99
0.46	9.99	9.99	9.99	9.99
0.461	9.99	9.99	9.99	9.99
0.462	9.99	9.99	9.99	9.99
0.463	9.99	9.99	9.99	9.99
0.464	9.99	9.99	9.99	9.99
0.465	9.99	9.99	9.99	9.99
0.466	9.99	9.99	9.99	9.99
0.467	9.99	9.99	9.99	9.99
0.468	9.99	9.99	9.99	9.99
0.469	9.99	9.99	9.99	9.99
0.47	9.99	9.99	9.99	9.99
0.471	9.99	9.99	9.99	9.99
0.472	9.99	9.99	9.99	9.99
0.473	9.99	9.99	9.99	9.99
0.474	9.99	9.99	9.99	9.99
0.475	9.99	9.99	9.99	9.99
0.476	9.99	9.99	9.99	9.99
0.477	9.99	9.99	9.99	9.99
0.478	9.99	9.99	9.99	9.99
0.479	9.99	9.99	9.99	9.99
0.48	9.99	9.99	9.99	9.99
0.481	9.99	9.99	9.99	9.99
0.482	9.99	9.99	9.99	9.99
0.483	9.99	9.99	9.99	9.99
0.484	9.99	9.99	9.99	9.99
0.485	9.99	9.99	9.99	9.99
0.486	9.99	9.99	9.99	9.99
0.487	9.99	9.99	9.99	9.99
0.488	9.99	9.99	9.99	9.99
0.489	9.99	9.99	9.99	9.99
0.49	9.99	9.99	9.99	9.99
0.491	9.99	9.99	9.99	9.99
0.492	9.99	9.99	9.99	9.99
0.493	9.99	9.99	9.99	9.99
0.494	9.99	9.99	9.99	9.99
0.495	9.99	9.99	9.99	9.99
0.496	9.99	9.99	9.99	9.99
0.497	9.99	9.99	9.99	9.99
0.498	9.99	9.99	9.99	9.99
0.499	9.99	9.99	9.99	9.99
0.5	9.99	9.99	9.99	9.99
0.501	9.99	9.99	9.99	9.99
0.502	9.99	9.99	9.99	9.99
0.503	9.99	9.99	9.99	9.99
0.504	9.99	9.99	9.99	9.99
0.505	9.99	9.99	9.99	9.99
0.506	9.99	9.99	9.99	9.99
0.507	9.99	9.99	9.99	9.99
0.508	9.99	9.99	9.99	9.99
0.509	9.99	9.99	9.99	9.99
0.51	9.99	9.99	9.99	9.99
0.511	9.99	9.99	9.99	9.99
0.512	9.99	9.99	9.99	9.99
0.513	9.99	9.99	9.99	9.99
0.514	9.99	9.99	9.99	9.99
0.515	9.99	9.99	9.99	9.99
0.516	9.99	9.99	9.99	9.99
0.517	9.99	9.99	9.99	9.99
0.518	9.99	9.99	9.99	9.99
0.519	9.99	9.99	9.99	9.99
0.52	9.99	9.99	9.99	9.99
0.521	9.99	9.99	9.99	9.99
0.522	9.99	9.99	9.99	9.99
0.523	9.99	9.99	9.99	9.99
0.524	9.99	9.99	9.99	9.99
0.525	9.99	9.99	9.99	9.99
0.526	9.99	9.99	9.99	9.99
0.527	9.99	9.99	9.99	9.99
0.528	9.99	9.99	9.99	9.99
0.529	9.99	9.99	9.99	9.99
0.53	9.99	9.99	9.99	9.99
0.531	9.99	9.99	9.99	9.99
0.532	9.99	9.99	9.99	9.99
0.533	9.99	9.99	9.99	9.99
0.534	9.99	9.99	9.99	9.99
0.535	9.99	9.99	9.99	9.99
0.536	9.99	9.99	9.99	9.99
0.537	9.99	9.99	9.99	9.99
0.538	9.99	9.99	9.99	9.99
0.539	9.99	9.99	9.99	9.99
0.54	9.99	9.99	9.99	9.99
0.541	9.99	9.99	9.99	9.99
0.542	9.99	9.99	9.99	9.99
0.543	9.99	9.99	9.99	9.99
0.544	9.99	9.99	9.99	9.99
0.545	9.99	9.99	9.99	9.99
0.546	9.99	9.99	9.99	9.99
0.547	9.99	9.99	9.99	9.99
0.548	9.99	9.99	9.99	9.99
0.549	9.99	9.99	9.99	9.99
0.55	9.99	9.99	9.99	9.99
0.551	9.99	9.99	9.99	9.99
0.552	9.99	9.99	9.99	9.99
0.553	9.99	9.99	9.99	9.99
0.554	9.99	9.99	9.99	9.99
0.555	9.99	9.99	9.99	9.99
0.556	9.99	9.99	9.99	9.99
0.557	9.99	9.99	9.99	9.99
0.558	9.99	9.99	9.99	9.99
0.559	9.99	9.99	9.99	9.99
0.56	9.99	9.99	9.99	9.99
0.561	9.99	9.99	9.99	9.99
0.562	9.99	9.99	9.99	9.99
0.563	9.99	9.99	9.99	9.99
0.564	9.99	9.99	9.99	9.99
0.565	9.99	9.99	9.99	9.99
0.566	9.99	9.99	9.99	9.99
0.567	9.99	9.99	9.99	9.99
0.568	9.99	9.99	9.99	9.99
0.569	9.99	9.99	9.99	9.99
0.57	9.99	9.99	9.99	9.99
0.571	9.99	9.99	9.99	9.99
0.572	9.99	9.99	9.99	9.99
0.573	9.99	9.99	9.99	9.99
0.574	9.99	9.99	9.99	9.99
0.575	9.99	9.99	9.99	9.99
0.576	9.99	9.99	9.99	9.99
0.577	9.99	9.99	9.99	9.99
0.578	9.99	9.99	9.99	9.99
0.579	9.99	9.99	9.99	9.99
0.58	9.99	9.99	9.99	9.99
0.581	9.99	9.99	9.99	9.99
0.582	9.99	9.99	9.99	9.99
0.583	9.99	9.99	9.99	9.99
0.584	9.99	9.99	9.99	9.99
0.585	9.99	9.99	9.99	9.99
0.586	9.99	9.99	9.99	9.99
0.587	9.99	9.99	9.99	9.99
0.588	9.99	9.99	9.99	9.99
0.589	9.99	9.99	9.99	9.99
0.59	9.99	9.99	9.99	9.99
0.591	9.99	9.99	9.99	9.99
0.592	9.99	9.99	9.99	9.99
0.593	9.99	9.99	9.99	9.99
0.594	9.99	9.99	9.99	9.99
0.595	9.99	9.99	9.99	9.99
0.596	9.99	9.99	9.99	9.99
0.597	9.99	9.99	9.99	9.99
0.598	9.99	9.99	9.99	9.99
0.599	9.99	9.99	9.99	9.99
0.6	9.99	9.99	9.99	9.99
