w                         logW                       A                         logA                     psi
  1  0        4.975186        13.93619       84.3    
  5  0.7       22.36068        26.9897       63.4     
  15  1.18        41.60251        32.38239       33.7     
  25  1.4        46.42383        33.33482       21.8     
  35      1.54        48.0762        33.6386       16     
  45      1.65        48.80935        33.77006       12.53     
  55      1.74        49.1935        33.83815       10.3     
  65      1.81        49.41858        33.87781       8.75     
   75        1.88        49.5614        33.90287       7.6     
   85       1.93        49.65753        33.9197       6.7     
   100       2       49.75186       33.93619       5.7          
