w                         logW                       A                         logA                     psi
  1  0        5        13.9794       -90     
  5  0.7       1        0       -90     
  15  1.18        0.3        -9.54243       -90     
  25  1.4        0.2        -13.9794       -90     
  35      1.54        0.142857        -16.902       -90     
  45      1.65        0.111111        -19.0849       -90     
  55      1.74        0.090909        -20.8279       -90     
  65      1.81        0.076923        -22.2789       -90     
   75        1.88        0.066667        -23.5218       -90     
   85       1.93        0.058824        -24.609       -90     
   100       2       0.05       -26.0206       -90          
